State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.44323	1.44323	1.42934	1.49683	1.49683	1.58220	1.65168	1.63381	1.65763	1.69535	1.75689	1.84424	1.90181	1.86012	1.85218	1.83630	1.83630	1.80454	1.87997	1.90578	1.98122
2	1.83016	1.78938	1.80467	1.73840	1.79447	1.88114	2.01369	2.18192	2.26349	2.19721	2.17172	2.19721	2.09525	2.22270	2.07996	2.11565	2.23800	2.21251	2.09525	2.16153	2.20741
3	2.22599	2.20404	2.19525	2.05037	2.16891	2.11623	2.09427	2.05037	2.01524	1.91426	1.83523	1.81767	1.58058	1.65083	1.74303	1.86158	1.87475	1.73864	1.78694	1.72986	1.55424
4	3.60176	3.56432	3.39209	3.32470	3.15996	3.35465	3.41455	3.25731	3.18242	3.08508	3.08508	3.19740	3.27228	3.02518	3.06262	2.80053	2.79305	2.90537	2.97276	2.93532	3.12252
5	4.25863	4.18812	4.07061	4.02831	3.96720	3.73218	3.50655	3.38904	3.15402	3.02711	2.90019	2.83909	2.83909	2.97540	3.01300	3.17752	3.23393	3.26213	3.19162	3.21983	3.13052
6	1.89316	1.84905	1.86376	1.83435	1.84170	1.86376	1.87846	1.94831	1.98139	1.89684	1.87478	1.77553	1.69098	1.65790	1.57702	1.49615	1.51821	1.49248	1.51821	1.50350	1.49615
7	1.02551	1.01200	1.01200	0.98647	1.00299	0.94593	0.94443	0.91440	0.90389	0.89639	0.86485	0.84534	0.85134	0.79879	0.76726	0.76425	0.74774	0.73423	0.75074	0.75224	0.75975
8	3.26730	3.26513	3.26687	3.26210	3.24300	3.22912	3.20568	3.18312	3.15534	3.12366	3.07723	3.01821	2.96136	2.91059	2.83985	2.77649	2.70011	2.64066	2.57427	2.50961	2.45753
9	1.60942	1.62630	1.63755	1.64881	1.62771	1.62911	1.60660	1.61223	1.62349	1.65444	1.67695	1.66991	1.68961	1.65303	1.63052	1.60801	1.54892	1.54048	1.50672	1.51375	1.50953
10	0.67380	0.67581	0.67744	0.67992	0.68176	0.68343	0.68561	0.68908	0.69310	0.69892	0.70478	0.71051	0.71783	0.72515	0.73456	0.74140	0.74932	0.75745	0.76340	0.76909	0.77367
