State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.44408	2.48613	2.52993	2.47561	2.22507	2.03936	1.83262	1.32628	1.01092	0.91105	0.84798	0.81469	0.82345	0.80593	0.85324	1.01267	1.22291	1.43666	1.61537	1.72750	1.75903
2	2.79399	3.07294	3.20792	3.63534	3.98628	4.07626	4.06726	3.98628	3.47337	2.65002	2.18660	1.99314	1.93015	2.10562	2.45655	2.67701	2.81199	2.75800	2.36207	2.20460	2.06063
3	3.90971	4.50256	5.73864	7.54431	10.09008	12.39561	14.09667	13.86418	12.43824	14.89489	15.71635	9.76847	8.62927	8.35416	8.16041	7.78068	6.79259	5.77351	4.63431	3.68885	3.14250
4	4.28236	5.14147	6.35745	8.35985	11.99457	18.04142	27.24717	40.26606	52.02933	54.63972	49.11495	42.30811	33.49227	25.08616	18.37845	12.72812	8.55150	5.88824	4.27575	3.34394	2.72273
5	6.81582	7.99811	9.48324	11.20897	13.68972	16.18705	18.22392	19.37302	20.05336	19.39377	23.68321	35.16598	39.95323	42.40493	42.29293	39.06962	33.53151	27.47485	22.33083	18.31103	15.35322
6	5.07732	5.08056	4.83400	4.67178	3.85746	2.92960	2.06013	1.57997	1.24581	1.40802	1.63188	1.15497	1.27825	1.59619	2.54353	4.89564	8.44489	11.22850	13.10694	13.70714	13.70389
7	1.41789	1.25490	1.11046	0.88651	0.71822	0.57643	0.50885	0.45717	0.43729	0.43464	0.42669	0.41874	0.43199	0.44922	0.49692	0.58703	0.79905	1.29333	1.87241	2.53498	3.02395
8	0.73228	0.67866	0.63960	0.58521	0.54040	0.50364	0.46304	0.43585	0.41785	0.40789	0.40942	0.41440	0.42168	0.44006	0.45155	0.47453	0.51053	0.57526	0.65185	0.74722	0.86863
9	3.25175	3.38460	3.51373	3.61554	3.66024	3.61678	3.42185	3.14621	2.88672	2.64337	2.50306	2.47078	2.63095	2.88920	3.16235	3.43799	3.57829	3.63168	3.62920	3.57084	3.42185
10	0.75232	0.73347	0.70579	0.66917	0.62079	0.56408	0.50287	0.45000	0.41571	0.39849	0.39000	0.39094	0.40178	0.41522	0.43067	0.45011	0.47319	0.49482	0.51559	0.53213	0.54712
