State (Emission order)	H3k36me3Rep1	H4k20me1Rep1	H3k79me2Rep1	H3k4me3Rep1	H3k9acRep1	H3k4me2Rep1	H2azRep1	H3k4me1Rep1	H3k9me3Rep1	H3k27me3Rep1
1	0.02552433125876864	0.0066651174590729514	0.02198741470083824	0.01725985935634129	0.012150723275660911	0.0911989363766233	0.07548916990939342	0.5549733469901965	0.017957252480408286	0.0017339552396672868
2	0.022775139636298274	0.014074794209934903	0.0695164327069733	0.4182601900269415	0.3583164889086501	0.8337902876479873	0.4881637110753445	0.8945297289792308	0.022916509849915757	0.010524696182746205
3	0.0010562522678411448	0.007555507756882549	0.0064097279701583135	0.08154358018724273	0.03356073784892833	0.2686908945147636	0.4500527427511544	0.20059263769058328	0.012605880469230196	0.04683217021588244
4	2.7549776125012493E-4	0.0032595583217024785	0.0983953184165428	0.8639260532733931	0.7847472747592151	0.9048981782187544	0.8920931483329545	0.22367385541584536	0.006123823584572203	0.028024402336283484
5	0.04490462311132992	0.03894797811208936	0.9722196674480676	0.963402715671486	0.9469173920351752	0.9042063184755077	0.4721938456708682	0.24446563595904955	0.012082898835696135	0.0020360493496969206
6	0.1441548907495725	0.05915142754491571	0.8999896880369584	0.4046048439332946	0.14510342834035683	0.5847130928170274	0.041536047697636476	0.5424411198709637	0.022838898164464896	0.0026050066235902957
7	0.12817474643255977	0.03715076959318888	0.6255018791824408	0.011303955381197278	0.0027476283581139775	0.01717248568808172	0.002997966221906817	0.07738326496964805	0.030952838051329867	8.468863637141505E-4
8	0.1785605238362145	0.009639982577811826	0.016610478189711765	0.0029214608301832623	7.995681304903974E-4	5.138311138631127E-4	7.724301351782486E-4	0.004047631621904935	0.010113559298437408	5.404916742963525E-4
9	0.008117226698819511	0.01775466727812778	4.823543393014095E-4	0.034407287211999864	0.0016315307351058405	0.002930665379079419	0.0026230479537602664	0.004965998635143371	0.047303238706471275	0.1547830286160519
10	6.8330405275356E-4	0.0018653498629476798	7.244569065748726E-5	9.893842387518424E-4	2.391304437868308E-4	4.732246870486116E-5	0.002103759627142723	5.969645777501769E-4	0.003009942108483798	0.00362778206718997
